fecha_hora,segundos,temperatura,meta_temp,humedad,meta_hum,foco,ingreso,humidificador,extractor
2026-09-02 06:04:33,723.8,20.8,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:04:35,725.8,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:37,727.8,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:39,729.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:41,731.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:43,733.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:45,735.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:47,737.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:49,739.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:51,741.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:53,743.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:55,745.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:04:57,747.9,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:04:59,749.9,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:01,751.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:04,753.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:06,755.9,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:08,757.9,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:10,759.9,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:12,762.0,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:14,764.0,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:16,766.0,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:18,768.0,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:20,770.0,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:22,772.0,20.8,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:24,774.0,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:26,776.0,20.8,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:28,778.0,20.7,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:30,780.0,20.7,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:32,782.0,20.7,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:34,784.0,20.7,20.5,48.0,50.0,0,0,0,0
2026-09-02 06:05:36,786.0,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:38,788.0,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:40,790.0,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:42,792.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:44,794.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:46,796.1,20.7,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:05:48,798.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:50,800.1,20.7,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:05:52,802.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:54,804.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:56,806.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:05:58,808.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:06:00,810.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:06:02,812.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:06:04,814.1,20.7,20.5,47.9,50.0,0,0,0,0
2026-09-02 06:06:06,816.1,20.7,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:08,818.1,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:10,820.1,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:12,822.1,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:14,824.2,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:16,826.2,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:18,828.2,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:20,830.2,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:22,832.2,20.6,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:06:24,834.2,20.6,20.5,47.8,50.0,0,0,0,0
