date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm
2024-06-03,10:50:00,110.0,923.5,284.5,813.5,1717428648.0,Concentrado Colectivo,29.572,26.663,0.0,1.471,9.24,34.97,C_01_S10,10:50
2024-06-05,10:24:00,110.0,909.5,256.5,799.5,1717600601.0,Concentrado Colectivo,26.532,25.276,0.11,1.09,10.54,32.08,C_01_S10,10:24
2024-06-10,12:17:00,110.0,918.5,278.0,808.5,1718038554.0,Concentrado Colectivo,31.061,24.086,0.0,1.34,0.0,34.38,C_01_S10,12:17
2024-06-12,10:47:00,111.0,900.0,259.0,789.0,1718205799.0,Concentrado Colectivo,30.745,24.483,0.0,1.377,0.0,32.83,C_01_S10,10:47
2024-06-17,12:15:00,111.0,672.5,158.5,561.5,1718643296.0,Concentrado Colectivo,29.767,25.276,0.0,0.838,6.76,28.23,C_01_S10,12:15
2024-06-21,11:03:00,111.0,650.4,100.0,539.4,1718984913.0,Concentrado Colectivo,29.673,24.185,0.26,1.094,7.34,18.54,C_01_S10,11:03
2024-06-24,11:28:00,110.0,886.5,200.5,776.5,1719245289.0,Concentrado Colectivo,27.579,26.961,0.156,2.476,8.8,25.82,C_01_S10,11:28
2024-06-26,15:40:00,110.0,857.0,184.5,747.0,1719433254.0,Concentrado Colectivo,27.019,28.045,0.172,1.939,9.5,24.7,C_01_S10,15:40
2024-06-28,12:01:00,111.0,705.0,173.0,594.0,1719593420.0,Concentrado Colectivo,26.924,24.391,0.0,1.458,14.12,29.12,C_01_S10,12:01
2024-07-01,11:15:00,110.0,817.0,116.5,707.0,1719849319.0,Concentrado Colectivo,28.589,28.646,0.0,1.807,6.92,16.48,C_01_S10,11:15
2024-07-05,11:37:00,111.0,837.5,167.0,726.5,1720196255.0,Concentrado Colectivo,27.288,26.663,0.192,1.588,8.22,22.99,C_01_S10,11:37
2024-07-08,11:27:00,111.0,840.0,190.5,729.0,1720455742.0,Concentrado Colectivo,26.412,23.305,0.106,1.464,10.88,26.13,C_01_S10,11:27
2024-07-10,11:46:00,111.0,863.6,187.5,752.6,1720629407.0,Concentrado Colectivo,28.235,22.91,0.106,1.833,9.84,24.91,C_01_S10,11:46
2024-07-12,10:48:00,110.0,825.0,171.0,715.0,1720799235.0,Concentrado Colectivo,28.039,23.068,0.133,1.67,10.88,23.92,C_01_S10,10:48
2024-07-15,10:38:00,111.0,816.8,125.0,705.8,1721057235.0,Concentrado Colectivo,28.975,24.101,0.0,1.109,10.6,17.71,C_01_S10,10:38
2024-07-19,17:30:00,110.0,846.5,170.5,736.5,1721427198.0,Concentrado Colectivo,29.29,26.956,0.197,0.755,9.04,23.15,C_01_S10,17:30
2024-07-22,10:06:00,111.0,825.0,131.0,714.0,1721659657.0,Concentrado Colectivo,29.035,25.675,0.15,0.969,8.22,18.35,C_01_S10,10:06
2024-07-29,11:23:00,110.0,1591.0,476.5,1481.0,1722268876.0,Concentrado Colectivo,28.32,23.22,0.097,0.713,14.8,32.17,C_01_S10,11:23
2024-07-31,10:58:00,111.0,843.0,170.0,732.0,1722441443.0,Concentrado Colectivo,29.638,24.543,0.277,0.714,10.26,23.22,C_01_S10,10:58
2024-08-03,1:09:00,111.0,837.5,163.8,726.5,1722664332.0,Concentrado Colectivo,27.423,21.794,0.231,1.038,17.46,22.55,C_01_S10,01:09
2024-08-05,11:37:00,111.6,693.0,156.0,581.4,1722875749.0,Concentrado Colectivo,30.14,26.631,0.0,0.821,0.0,26.83,C_01_S10,11:37
