date,time, tara , tweight , dweight , pweight ,chemical_id,MUESTRA,pFe,pCu,pZn,pMo,pIns,pSol
2023-01-30,11:42:00,  110.0 ,1312.5,  485.0 ,1202.5,4994,Rebose Hidrociclones L2,2.507,0.469,0.004,0.024,0.000,40.33
2023-01-30,11:51:00,  110.0 ,1049.,  268.0 ,939.,4995,Concentrado Colectivo,32.410,20.384,0.106,1.148,8.360,28.54
2023-01-30,11:52:00,  110.0 ,1329.,  513.5 ,1219.,4996,Concentrado Primario L2,32.040,10.290,0.052,0.559,19.800,42.12
2023-02-01,11:46:00,  112.5 ,1281.,  397.0 ,1168.5,5000,Rebose Hidrociclones L1,2.704,0.428,0.004,0.017,0.000,33.98
2023-02-01,11:49:00,  112.0 ,1176.,  232.5 ,1064.,5001,Rebose Hidrociclones L2,3.869,0.821,0.006,0.036,0.000,21.85
2023-02-01,11:51:00,  109.5 ,1169.5,  210.5 ,1060.,5002,Relave Final,3.261,0.055,0.000,0.002,0.000,19.86
2023-02-01,11:53:00,  111.0 ,1008.,  223.0 ,897.,5003,Concentrado Colectivo,31.550,19.969,0.105,0.990,10.800,24.86
2023-02-01,11:55:00,  109.5 ,1261.,  409.0 ,1151.5,5004,Concentrado Primario L2,31.340,13.969,0.076,0.597,17.800,35.52
2023-02-06,11:41:00,  109.0 ,1019.,  112.5 ,910.,5013,Relave Final,2.235,0.040,0.003,0.004,0.000,12.36
2023-02-06,11:43:00,  110.0 ,1206.,  393.5 ,1096.,5012,Rebose Hidrociclones L2,2.641,0.702,0.007,0.029,0.000,35.90
2023-02-06,11:47:00,  109.5 ,1174.5,  347.5 ,1065.,5011,Rebose Hidrociclones L1,2.456,0.376,0.005,0.019,0.000,32.63
2023-02-06,11:52:00,  110.0 ,961.5,  224.0 ,851.5,5014,Concentrado Colectivo,30.000,23.010,0.203,1.320,10.260,26.31
2023-02-08,11:25:00,  110.0 ,1167.,  233.5 ,1057.,5020,Relave Final,2.383,0.064,0.003,0.003,0.000,22.09
2023-02-08,11:27:00,  109.0 ,1121.5,  478.5 ,1012.5,5019,Rebose Hidrociclones L2,2.641,0.428,0.005,0.018,0.000,47.26
2023-02-08,11:31:00,  108.0 ,1114.,  440.0 ,1006.,5018,Rebose Hidrociclones L1,3.040,0.469,0.005,0.021,0.000,43.74
2023-02-08,11:32:00,  109.0 ,1036.,  209.5 ,927.,5021,Concentrado Colectivo,29.440,26.520,0.139,1.065,8.840,22.60
2023-02-08,11:43:00,  109.0 ,987.5,  402.0 ,878.5,5022,Concentrado Primario L2,24.790,16.920,0.098,0.715,26.200,45.76
2023-02-10,11:12:00,  109.5 ,1301.5,  141.0 ,1192.,5023,Rebose Hidrociclones L1,2.727,0.573,0.005,0.020,0.000,11.83
2023-02-10,11:14:00,  110.0 ,1319.,  152.5 ,1209.,5024,Rebose Hidrociclones L2,2.824,0.591,0.005,0.022,0.000,12.61
2023-02-10,11:17:00,  109.0 ,1159.5,  255.0 ,1050.5,5025,Relave Final,2.402,0.074,0.002,0.002,0.000,24.27
2023-02-10,11:19:00,  110.0 ,1020.5,  252.0 ,910.5,5026,Concentrado Colectivo,28.710,25.070,0.125,1.263,11.560,27.68
2023-02-10,11:29:00,  110.0 ,1232.,  194.5 ,1122.,5027,Concentrado Primario L2,23.760,12.040,0.071,0.600,34.160,17.34
2023-02-13,11:16:00,  110.0 ,1159.,  271.0 ,1049.,5033,Relave Final,3.402,0.071,0.002,0.003,0.000,25.83
